区域,名称,景点id,类型,级别,热度,地址,特色,经纬度
山西·运城·永济市,鹳雀楼,781105660,文化古迹,4A景区,热度 0.78,山西运城永济市蒲州古城西鹳雀楼景区,我国古代四大名楼,"110.277179,34.833102"
山东·济南·历下区,解放阁,8602358,文化古迹,,热度 0.74,山东省济南市历下区下河涯街22号,纪念济南解放,"117.040064,36.668997"
河南·南阳·邓州市,花洲书院,3054368837,文化古迹,3A景区,热度 0.74,河南省南阳市邓州市人民东路,"阳春三月游书院,百般红紫斗芳菲","112.104296,32.678111"
山东·临沂·沂水县,天上王城,706766569,文化古迹,4A景区,热度 0.9199999999999999,山东省临沂市沂水县沂蒙山腹地的沂水县城西北40公里处,赏沂蒙山崮群风光，探古纪国的历史遗存,"118.371203,35.957777"
浙江·湖州·南浔区,张氏旧宅建筑群,3098295409,文化古迹,,热度 0.7,浙江省湖州市南浔区南浔镇南西街,融汇贯通，体现清末西风东渐的时代特征,"120.436967,30.881082"
北京·北京·东城区,国子监,4092945622,文化古迹,4A景区,热度 0.74,北京市东城区安定门内国子监街13号,一所古代中央公办大学建筑,"116.420453,39.952927"
新疆·吐鲁番·吐鲁番市,火焰山景区,2264234936,文化古迹,4A景区,热度 0.8400000000000001,新疆省吐鲁番地区吐鲁番市高昌路51号,气温居高不下，真是名副其实的火焰山,"89.536075,42.951144"
新疆·吐鲁番·吐鲁番市,吐鲁番郡王府,179016367,文化古迹,,热度 0.7,新疆维吾尔自治区吐鲁番地区吐鲁番市葡萄乡木纳尔村,一位杰出的爱国者和军事家,"89.215713,42.94202"
浙江·杭州·西湖,南屏晚钟,574594212,文化古迹,,热度 0.72,浙江省杭州市西湖区南山路56号净慈寺内,南屏晚钟。南屏山，绵延横陈于西湖南岸，山高不过百米，山体延伸却长达千余米。山上怪石耸秀，绿树惬眼。晴好日，满山岚翠在蓝天,"120.155601,30.235475"
浙江·宁波·蒋氏故里,玉泰盐铺原址,288090359,文化古迹,,热度 0.0,浙江省奉化市溪口镇武岭路中段蒋氏故居风景区内,原中华民国总统蒋介石的出生地,"121.28696567678,29.687675703589"
伊斯坦布尔,多玛巴切新皇宫,20454830,文化古迹,,热度 0.0,土耳其博斯普鲁斯海峡西岸,皇宫内部珍宝令人目不暇接,"28.9989,41.04041"
索尔兹伯里平原,巨石阵,42903818,文化古迹,,热度 0.0,"Amesbury, Wiltshire SP4 7DE英国北3536 英里",一个神圣的地方,"-1.82621462643147,51.178881547969"
巴黎,巴黎圣母院,1406824687,文化古迹,,热度 1.0,"6, place du parvis de Notre-Dame 75004",哥特式风格的基督教教堂，是古老巴黎的象征,"2.34990210000001,48.8529679793905"
雅典,胜利女神殿,2979867261,文化古迹,,热度 0.0,希腊>雅典,雅典的保护神,"23.7248740717769,37.971528868952"
圣彼得堡,基督复活教堂,2475243270,文化古迹,,热度 0.0,"Griboyedov Canal Embankment, 2Б, St Petersburg, Russian191186",中世纪俄罗斯建筑的风格,"30.3288996517658,59.9401005681218"
江西·九江·庐山风景名胜区,毛泽东诗碑园,1601465775,文化古迹,,热度 0.0,江西省九江庐山市庐山景区,建筑宏伟，淡雅大方，亭池配缀，更添风采,"115.97559370442,29.556713152312"
福建·泉州·金门县,金门列岛,4280447481,文化古迹,,热度 0.0,福建省泉州市金门县,前立牌坊，中建碑亭，庄严肃穆，树木茂密,"118.428826,24.513486"
北京·北京·明十三陵,神路,2133546196,文化古迹,,热度 0.0,北京市昌平区十三陵特区明十三陵,一条通向通向明代皇帝墓寝的神秘古道,"116.231727,40.26422"
安徽·黄山·黄山风景区,光明顶,60922615,文化古迹,,热度 0.8,安徽省黄山市黄山区黄山风景区内,赵公明财神文化景区的核心建筑,"118.176111,30.13845"
加利福尼亚州·旧金山,旧金山联合广场,3075657983,文化古迹,,热度 0.0,美国加利福尼亚州旧金山Geary街,洋溢着浪漫而令人愉悦气息,"-122.4075169,37.7879797"
不列颠哥伦比亚·温哥华,煤气镇,4093057137,文化古迹,,热度 0.0,加拿大温哥华,温哥华的发祥地，历史与现代并存,"-123.109659341073,49.2843870724343"
阿维尼翁,阿维尼翁教皇宫,561884806,文化古迹,,热度 0.0,"Place du Palais, 84000 Avignon, 法国",建筑风格深受罗马式建筑所影响,"4.807674,43.95088"
英格兰·伦敦·肯辛顿花园,肯辛顿宫,2385139725,文化古迹,,热度 0.0,"Kensington Palace Gardens, London, United Kingdom",它见证了英国王室的高层政治和私密的生活,"-0.188083172,51.50507355"
琅勃拉邦,浦西山,936461804,文化古迹,,热度 0.0,老挝琅勃拉邦,从此处你可以看到绝佳的风景,"102.136982360119,19.890228080322"
浙江·宁波·慈城古县城,慈城冯俞宅,3436184675,文化古迹,4A景区,热度 0.0,浙江省宁波市江北区慈城镇东城沿路88号,宁波保存较完好的古建筑群之一,"121.46136,29.990419"
浙江·宁波·象山县,檀头山岛,222259488,文化古迹,,热度 0.0,浙江省宁波市象山石浦檀头山岛（近东门岛）,观赏海景，品尝海鲜，体验渔乡习俗,"122.045826,29.206344"
浙江·宁波·北仑区,宁波北仑瑞岩寺,3635700493,文化古迹,,热度 0.0,浙江省宁波市北仑区九峰山瑞岩景区,陶然世外天、湖光山色里,"121.898066,29.839163"
云南·红河·建水县,学政考棚,4000463868,文化古迹,,热度 0.0,云南省红河州建水县临安路134号,研究中国西南古代科举制度的绝好实物遗存,"102.832569,23.619362"
湖南·湘西·凤凰县,南华山神凤文化景区,984222016,文化古迹,4A景区,热度 0.0,湖南省湘西市土家族苗族自治州凤凰县南华山神凤文化景区,中华凤凰文化为主题，匠心独创，特色独具,"109.61278,27.953065"
贵州·黔南·荔波县,荔波县联山湾水利风景区,535050157,文化古迹,,热度 0.0,贵州省黔南州荔波县驾欧乡联山村,体验布依民族风情，品尝美味农家特色菜,"107.684213,25.305404"
江苏·泰州·泰州凤城河景区,泰州凤城河学政试院景区,1396988434,文化古迹,,热度 0.0,江苏省泰州市海陵区府前路2号,清代科举制度下考秀才的试场,"119.927373,32.496116"
陕西·西安·终南山古楼观,赵公明财神文化区,3739743186,文化古迹,,热度 0.0,陕西省西安市周至县赵公明财神庙,享有“华夏财神，九州无二福地”之美誉,"108.349125,34.08034"
河南·郑州·巩义市,青龙山慈云寺,3105254142,文化古迹,3A景区,热度 0.0,河南省郑州市巩义市大峪沟镇民权村境内,青龙山慈云寺风景区位于省会郑州与九朝古都洛阳之间。南依中岳嵩山，北临黄河洛汭，总面积51平方公里。山下310国道、连霍高,"113.085386,34.68706"
山东·临沂·沂水县,沂蒙革命根据地,2817420987,文化古迹,,热度 0.0,山东省临沂市沂水县夏蔚镇王庄,"触摸历史,感悟人生","118.323895,35.870715"
江苏·苏州·太湖西山岛,包山禅寺,3477828370,文化古迹,,热度 0.0,江苏省苏州市吴中区金庭镇,披一身岁月沧桑，洒一路虔诚梵音,"120.297903,31.11708"
山东·济宁·微山县,南阳古镇,1734551365,文化古迹,4A景区,热度 0.0,山东省济宁市微山县南阳镇,周围碧水环抱，运河中间穿过，如水墨画,"116.680666,35.099875"
北京·北京·密云县,古北口文化文物旅游区,2570280048,文化古迹,,热度 0.0,北京市密云县古北口镇,文化古迹众多，故事传奇，一派神秘圣地,"117.172195,40.689651"
浙江·丽水·缙云县,河阳古民居,58077774,文化古迹,,热度 0.0,浙江省丽水市缙云县河阳村仙都风景区,山清水秀，民风古朴，罕见的古村落活化石,"120.015868,28.731471"
广西·桂林·七星区,桂林訾洲岛景区,450609211,文化古迹,,热度 0.0,广西省桂林市中心漓江上（解放桥至龙隐桥方向右侧）,观赏城徽象鼻山的历史发源地和绝佳角度,"110.309966,25.275364"
上海·上海·嘉定区,南翔古镇,2961549446,文化古迹,4A景区,热度 0.0,上海市嘉定区南翔镇,千年古镇哪家强？上海嘉定有南翔,"121.31467,31.297407"
福建·厦门·集美学村,陈嘉庚纪念胜地景区,565852139,文化古迹,,热度 0.0,福建省厦门市集美区浔江路8号,充分展示了嘉庚先生一生热爱科学，尊师重教,"118.111929,24.571534"
广东·肇庆·德庆县,肇庆市德庆学宫景区,3595044140,文化古迹,4A景区,热度 0.0,广东肇庆市德庆县德城镇朝阳西路26号,"孔子诞,游学宫,做个有文化的人","111.7749,23.144758"
广西·玉林·容县,三名旅游景区,1775176639,文化古迹,,热度 0.0,玉林市容县,名楼真武阁，名人杨贵妃，名山都峤山,"110.608304,22.783609"
陕西·汉中·勉县,汉中武侯墓风景区,1065101928,文化古迹,4A景区,热度 0.0,陕西省汉中勉县武侯南路,左右前后九支环抱，又如佛手,"106.660676,33.130082"
湖北·黄冈·麻城市,麻城五脑山森林公园,3115433270,文化古迹,3A景区,热度 0.0,湖北省黄冈市麻城市,祠奉麻姑的香火延续至今，麻姑文化世代传诵,"115.00284948845,31.233448450467"
广西·柳州·柳城县,知青城,4012490569,文化古迹,3A景区,热度 0.0,广西壮族自治区柳州市柳城县洛崖-中寨,“知青城”位于大埔镇洛崖社区—中寨村，景区位于“百里柳江”上游的融江河畔，距县城5公里，距柳州市区55公里，景区溯水而上,"109.18139377197,24.672443985843"
上海·上海·闵行区,召稼楼,2803581436,文化古迹,4A景区,热度 0.0,上海市闵行区浦江镇,召稼楼位于闵行区浦江镇的召稼楼古镇（浦江镇革新村内），源起于元朝初期，横跨元明清三个朝代，现面积达150亩之广，散落着不,"121.555586,31.080932"
山东·潍坊·安丘市,潍坊安丘城顶山生态旅游区,3196535878,文化古迹,3A景区,热度 0.0,山东省潍坊市安丘市,自古以来，为兵家必争之地，可见其险要,"119.212646,36.544949"
河北·保定·定州市,定州文庙,3177379982,文化古迹,3A景区,热度 0.0,河北省保定市定州市刀枪街,祭祀孔子场所，基本保持明代以前的建筑格局,"115.00791141338,38.521449375564"
天津·天津·西青区,玉佛禅寺,4081875583,文化古迹,3A景区,热度 0.0,天津市西青区辛口镇当城村南,翠柏苍松，枝叶茂密，晨钟暮鼓，佛光普照,"116.953377,39.088461"
河北·张家口·蔚县,暖泉古镇,4190528945,文化古迹,3A景区,热度 0.0,河北省张家口市蔚县暖泉古镇,暖泉全新升级,"114.458012,39.815419"
陕西·西安·莲湖区,西安广仁寺,2933729908,文化古迹,3A景区,热度 0.0,陕西省西安市莲湖区西北一路152号,寺内殿宇庄严，花木茂盛,"108.932263,34.280013"
河南·安阳·文峰区,安阳天宁寺,1336595492,文化古迹,,热度 0.0,河南省安阳市文峰中路西段,莲花状的寺塔,"114.356069,36.103899"
湖北·宜昌·西陵峡风景名胜区,三游洞,1344480533,文化古迹,4A景区,热度 0.0,湖北省宜昌市西陵区夜明珠路108号,地势险峻，形如覆蓬，冬暖夏凉，洞室开阔,"111.271738,30.771731"
河南·平顶山·鲁山县,中原大佛景区,1546699691,文化古迹,5A景区,热度 0.0,河南省平顶山市鲁山县赵村乡上汤村,敬香拜佛，还可以抱抱佛脚，祈福求平安,"112.465789,33.774685"
福建·宁德·福鼎市,翠郊古民居,1456761443,文化古迹,,热度 0.0,福建省宁德福鼎市白琳翠郊,翠郊古民居又称翠郊大厝、洋里民居、吴氏老房子，位于距福鼎市区20公里的白琳翠郊。翠郊古民居建于清乾隆10年，距今约250,"120.106164,27.192629"
广东·清远·连州市,连州龙潭,795487867,文化古迹,,热度 0.0,广东省清远连州市九陂镇龙潭风景区,不与山水争锋，一切都顺应自然，归于自然,"112.460029,24.707388"
安徽·黄山·歙县,黄山雄村景区,3115297632,文化古迹,4A景区,热度 0.0,安徽省黄山市歙县雄村106号,一块钟灵毓秀、风光旖旎的风水宝地,"118.450762,29.827356"
福建·龙岩·永定县,客都温泉,2765369546,文化古迹,,热度 0.0,福建省龙岩市永定县下洋镇203省道旁,有天然唯汤温泉（硫磺泉）与地热土楼蒸房,"116.832653,24.599153"
安徽·黄山·休宁县,古城岩,3135317543,文化古迹,,热度 0.0,安徽省黄山市休宁县万安镇东侧,古城岩有众多的古迹遗址和悠久的历史传承,"118.234388,29.789437"
陕西·宝鸡·金台区,大唐秦王陵,2319398285,文化古迹,3A景区,热度 0.0,陕西省宝鸡市金台区北坡公园顶端陵原村东侧,得到心灵的震撼，历史文化的陶冶,"107.117706,34.402981"
四川·遂宁·船山区,中国观音故里旅游区,1813291227,文化古迹,,热度 0.8,四川省遂宁市船山区广德路,是人们探寻观音文化历史渊源的旅游仙境,"105.624945,30.525278"
山西·运城·万荣县,东岳庙,3865532740,文化古迹,,热度 0.72,山西省运城市万荣县城西大街8号,结构巧妙，为我国楼阁式建筑之中的佳作,"110.841341,35.421204"
京都府·京都,金阁寺,1612919872,文化古迹,,热度 1.0,"〒603-8361 京都府京都市北区金閣寺町1（1 Kinkakujichō, Kita-ku, Kyōto-shi, Kyōto-fu 603-8361日本）",日本室町时代极具代表性的名园,"135.7292431,35.03937"
山西·太原·阳曲县,青龙古镇,921548660,文化古迹,,热度 0.7,太原市阳曲县紧邻尖草坪区,犹如一条出水巨龙，腾空而起,"112.63700930554,38.027963103275"
湖北·宜昌·兴山县,昭君村,1210903494,文化古迹,3A景区,热度 0.72,湖北省宜昌市兴山县昭君镇昭君村景区,昭君故里，民风淳朴，环境优雅,"110.735724,31.266152"
内华达·拉斯维加斯,胡佛大坝,2405643333,文化古迹,,热度 0.0,美国拉斯维加斯大峡谷40公里处,宏伟、威严的建筑物,"-114.737732894683,36.0160645452147"
北京·北京·房山区,房山世界地质公园,4150417,文化古迹,,热度 0.7,北京市房山区,绵延百里、蜿蜒曲折、绝壁千仞,"115.882288,39.590974"
湖南·张家界·永定区,张家界老院子,2027257813,文化古迹,,热度 0.7,湖南省张家界市永定区鸬鹚湾大桥东200米,来老院子体验毕兹卡民居风情,"110.527321,29.123316"
内蒙古·呼和浩特·玉泉区,席力图召,556447283,文化古迹,3A景区,热度 0.9199999999999999,内蒙古呼和浩特市玉泉区石头巷北端,席力图召汉名“延寿寺”，为康熙所赐,"111.663061,40.805728"
仰光,大金塔,3279668183,文化古迹,,热度 0.0,亚洲-缅甸,金碧辉煌的大金塔，值得一看,"96.1496142999999,16.798308"
宁夏·银川·贺兰县,拜寺口双塔,251768439,文化古迹,,热度 0.74,宁夏银川市老城区贺兰山东麓拜寺口,曾是西夏佛祖寺院所在地,"105.974029,38.687159"
江苏·苏州·常熟市,曾园,4091353433,文化古迹,,热度 0.7,江苏省苏州常熟市甸桥东路,四周环亭榭假山，修竹古木,"120.742151,31.648104"
浙江·宁波·余姚市,天下玉苑,648062822,文化古迹,4A景区,热度 0.0,浙江省宁波市余姚市大隐镇山王北路85号,山峦叠翠、溪流潺潺，新千年江南奇景,"121.375556,29.945321"
京都府·京都,三十三间堂,3283136646,文化古迹,,热度 1.0,"〒605-0941 京都府京都市東山区三十三間堂廻リ657（657 Sanjusangendomawari, Higashiyama Ward, Kyoto, Kyoto Prefecture 605-0941日本）",为莲华王院的正殿，日本国宝,"135.771749131382,34.987918032777"
江苏·苏州·昆山市,千灯古镇,3294650863,文化古迹,4A景区,热度 0.72,江苏省昆山市千灯镇秦峰路1788号（近秦峰中路）,著名的历史文化古镇，历史悠久,"121.009335,31.272657"
河南·许昌·许昌县,灞陵桥,1795678379,文化古迹,3A景区,热度 1.0,河南省许昌市魏都区许继大道7号,江面宽阔，水流潺缓，古木参天，美景天成,"113.792456,34.028694"
山东·青岛·市南区,花石楼,147297549,文化古迹,,热度 0.76,山东省青岛市南区黄海路18号花石楼,它带给您的感受只有一种———自由奔放,"120.360403,36.056278"
